id	equip_req	ex_name	ex_type	muscle
1043	Machine - Strength	Triceps Pushdown V Bar	Strength	Triceps
1044	Exercise Ball, Weight Plate	Weight Plate Pullover on Exercise Ball	Strength	Triceps
1045	Bench, Weight Plate	Weighted Bench Dip	Strength	Triceps
1046	Bench, Weight Plate	Weighted Three Bench Dips	Strength	Triceps
1047	Machine - Strength, Weight Plate	Weighted Tricep Dips	Strength	Triceps
1048	Body Only	90 90 Hamstring	Stretching	Upper Legs
1049	Body Only	All Fours Squad Stretch	Stretching	Upper Legs
1050	Body Only	Alternate Leg Diagonal Bound	Strength	Upper Legs
1051	Bands	Band Good Morning	Strength	Upper Legs
1052	Bands	Band Squat	Strength	Upper Legs
1053	Barbell	Barbell 1/2 Squat	Strength	Upper Legs
1054	Barbell	Barbell 1/4 Squat	Strength	Upper Legs
1055	Barbell	Barbell Clean	Olympic Weight Lifting	Upper Legs
1056	Barbell	Barbell Clean Deadlift	Olympic Weight Lifting	Upper Legs
1057	Barbell, Others	Barbell Clean From Blocks	Olympic Weight Lifting	Upper Legs
1058	Barbell	Barbell Clean Pull	Olympic Weight Lifting	Upper Legs
1059	Barbell, Bench	Barbell Decline Bench Lunge	Strength	Upper Legs
1060	Barbell	Barbell Deep Squat	Strength	Upper Legs
1061	Barbell	Barbell Front Squat	Strength	Upper Legs
1062	Barbell	Barbell Front Squat	Strength	Upper Legs
1063	Barbell	Barbell Full Squat	Strength	Upper Legs
1064	Barbell, Machine - Strength	Barbell Good Morning Off Pins	Powerlifting	Upper Legs
1065	Barbell	Barbell Hack Squat	Strength	Upper Legs
1066	Barbell	Barbell Hang Clean	Olympic Weight Lifting	Upper Legs
1067	Barbell	Barbell Hang Clean Below the Knees	Olympic Weight Lifting	Upper Legs
1068	Barbell	Barbell Hang Snatch	Olympic Weight Lifting	Upper Legs
1069	Barbell	Barbell Hang Snatch Below the Knees	Olympic Weight Lifting	Upper Legs
1070	Barbell	Barbell Heaving Snatch Balance	Olympic Weight Lifting	Upper Legs
1071	Barbell	Barbell Jefferson Squat	Strength	Upper Legs
1072	Barbell	Barbell Jerk Dip Squat	Olympic Weight Lifting	Upper Legs
1073	Barbell	Barbell Lunge	Strength	Upper Legs
1074	Barbell	Barbell Muscle Snatch	Olympic Weight Lifting	Upper Legs
1075	Barbell	Barbell Olympic Squat	Olympic Weight Lifting	Upper Legs
1076	Barbell	Barbell One Arm Side Deadlift	Strength	Upper Legs
1077	Barbell	Barbell One Arm Snatch	Strength	Upper Legs
1078	Barbell, Bench	Barbell One Leg Squat	Strength	Upper Legs
1079	Barbell	Barbell Overhead Squat	Olympic Weight Lifting	Upper Legs
1080	Barbell, Others	Barbell Power Clean from Blocks	Olympic Weight Lifting	Upper Legs
1081	Barbell	Barbell Power Jerk	Olympic Weight Lifting	Upper Legs
1082	Barbell	Barbell Power Snatch	Olympic Weight Lifting	Upper Legs
1083	Barbell, Others	Barbell Power Snatch From Blocks	Olympic Weight Lifting	Upper Legs
1084	Barbell, Weight Plate	Barbell Romanian Deadlift From Deficit	Olympic Weight Lifting	Upper Legs
1085	Barbell	Barbell Side Split Squat	Strength	Upper Legs
1086	Barbell	Barbell Single Leg Squat	Strength	Upper Legs
1087	Barbell	Barbell Snatch	Olympic Weight Lifting	Upper Legs
1088	Barbell	Barbell Snatch Balance	Olympic Weight Lifting	Upper Legs
1089	Barbell	Barbell Snatch Deadlift	Olympic Weight Lifting	Upper Legs
1090	Barbell, Others	Barbell Snatch from Blocks	Olympic Weight Lifting	Upper Legs
1091	Barbell	Barbell Snatch Pull	Strength	Upper Legs
1092	Barbell	Barbell Speed Squat	Strength	Upper Legs
1093	Barbell	Barbell Split Clean	Olympic Weight Lifting	Upper Legs
1094	Barbell	Barbell Split Jerk	Olympic Weight Lifting	Upper Legs
1095	Barbell	Barbell Split Jump	Strength	Upper Legs
1096	Barbell	Barbell Squat	Strength	Upper Legs
1097	Barbell	Barbell Squat Jerk	Strength	Upper Legs
1098	Barbell, Bench	Barbell Squat To A Bench	Strength	Upper Legs
1099	Barbell	Barbell Squat to Shoulder Press	Strength	Upper Legs
1100	Barbell	Barbell Squat to Upright Row	Strength	Upper Legs
1101	Barbell	Barbell Squat with Narrow Stance	Strength	Upper Legs
1102	Barbell, Bench	Barbell Step Ups	Strength	Upper Legs
1103	Barbell, Bench	Barbell Stiff Leg Deadlift on Bench	Strength	Upper Legs
1104	Barbell	Barbell Stiff-Legged Deadlift	Strength	Upper Legs
1105	Barbell	Barbell Sumo Deadlift	Powerlifting	Upper Legs
1106	Barbell	Barbell Wide Stance Squat	Strength	Upper Legs
1107	Barbell	Barbell Wide Stance Stiff Leg Deadlift	Olympic Weight Lifting	Upper Legs
1108	Barbell	Barbell Zercher Squat	Strength	Upper Legs
1109	Barbell	Barbell Zercher Squat	Strength	Upper Legs
1110	Body Only	Bodyweight Lunge	Strength	Upper Legs
1111	Body Only	Bodyweight Side Lunge	Strength	Upper Legs
1112	Bench	Bodyweight Step Up	Strength	Upper Legs
1113	Body Only	Bodyweight Walking Lunge	Strength	Upper Legs
1114	Body Only	Bodyweight Wall Squat	Strength	Upper Legs
1115	Bench	Box Jump Multiple Response	Strength	Upper Legs
1116	Machine - Strength	Cable Standing Leg Curl	Strength	Upper Legs
1117	Bench	Chair Leg Extended Stretch	Stretching	Upper Legs
1118	Body Only	Depth Jump Leap	Strength	Upper Legs
1119	Body Only	Double Leg Butt Kick	Strength	Upper Legs
1120	Bench, Dumbbell	Dumbbell Bench One Leg Squat	Strength	Upper Legs
1121	Bench, Dumbbell	Dumbbell Decline Bench Lunge	Strength	Upper Legs
1122	Bench, Dumbbell	Dumbbell Hamstring Curl	Strength	Upper Legs
1123	Dumbbell	Dumbbell Iron Cross	Strength	Upper Legs
1124	Dumbbell	Dumbbell Jumping Squat	Strength	Upper Legs
1125	Dumbbell	Dumbbell Lateral Lunge with Bicep Curl	Strength	Upper Legs
1126	Dumbbell	Dumbbell Lunges	Strength	Upper Legs
1127	Dumbbell	Dumbbell One Leg Squat	Strength	Upper Legs
1128	Dumbbell	Dumbbell Pile Squat	Strength	Upper Legs
1129	Dumbbell	Dumbbell Rear Lunge	Strength	Upper Legs
1130	Dumbbell	Dumbbell Split Jump	Strength	Upper Legs
1131	Dumbbell	Dumbbell Squat	Strength	Upper Legs
1132	Dumbbell, Bench	Dumbbell Squat To A Bench	Strength	Upper Legs
1133	Dumbbell, Bench	Dumbbell Step Ups	Strength	Upper Legs
1134	Dumbbell	Dumbbell Stiff Leg Deadlift	Strength	Upper Legs
1135	Bench, Dumbbell	Dumbbell Stiff Leg Deadlift on Bench	Strength	Upper Legs
1136	Dumbbell	Dumbbell Stiff-Legged Deadlift	Strength	Upper Legs
1137	Dumbbell	Dumbbell Walking Lunges	Strength	Upper Legs
1138	Dumbbell	Dumbbell Wall Squat	Strength	Upper Legs
1139	Exercise Ball	Exercise Ball Hip Flexor Stretch	Stretching	Upper Legs
1140	Exercise Ball	Exercise Ball Seated Hamstring Stretch	Stretching	Upper Legs
1141	Exercise Ball	Exercise Ball Seated Quad Stretch	Stretching	Upper Legs
1142	Exercise Ball	Exercise Ball Standing Hamstring Stretch	Stretching	Upper Legs
1143	Exercise Ball	Exercise Ball Wall Squat	Strength	Upper Legs
1144	Body Only	Freehand Jump Squat	Strength	Upper Legs
1145	Body Only	Front Leg Raises	Stretching	Upper Legs
1146	Bench	Front Step Up	Stretching	Upper Legs
1147	Machine - Strength	Hack Squat	Strength	Upper Legs
1148	Machine - Strength	Hack Squat with Narrow Stance	Strength	Upper Legs
1149	Bands	Hamstring Stretch	Stretching	Upper Legs
1150	Bands	Hip Flexor and Quad Stretch	Stretching	Upper Legs
1151	Kettlebell	Kettlebell Dead Clean	Strength	Upper Legs
1152	Kettlebell	Kettlebell Front Squats	Strength	Upper Legs
1153	Kettlebell	Kettlebell Goblet Squat	Strength	Upper Legs
1154	Kettlebell	Kettlebell Hang Clean	Strength	Upper Legs
1155	Kettlebell	Kettlebell One Arm Clean	Strength	Upper Legs
1156	Kettlebell	Kettlebell One Arm Overhead Squat	Strength	Upper Legs
1157	Kettlebell	Kettlebell One Arm Palm Clean	Strength	Upper Legs
1158	Kettlebell	Kettlebell One Arm Swing	Strength	Upper Legs
1159	Kettlebell	Kettlebell One Legged Deadlift	Strength	Upper Legs
1160	Kettlebell	Kettlebell Open Palm Clean	Strength	Upper Legs
1161	Kettlebell	Kettlebell Pistol Squat	Strength	Upper Legs
1162	Body Only	Knee Tuck Jump	Strength	Upper Legs
1163	Body Only	Kneeling Hip Flexor	Stretching	Upper Legs
1164	Body Only	Kneeling Hip Flexor	Stretching	Upper Legs
1165	Machine - Strength	Kneeling Leg Curl	Strength	Upper Legs
1166	Machine - Strength	Leg Extension with One Leg	Strength	Upper Legs
1167	Machine - Strength	Leg Extensions	Strength	Upper Legs
1168	Machine - Strength	Leg Press	Strength	Upper Legs
1169	Machine - Strength	Leg Press Machine	Strength	Upper Legs
1170	Machine - Strength	Leg Press Machine One Leg Press with Wide Stance	Strength	Upper Legs
1171	Machine - Strength	Leg Press Machine With Narrow Stance	Strength	Upper Legs
1172	Machine - Strength	Leg Press Machine With One Leg	Strength	Upper Legs
1173	Machine - Strength	Leg Press Machine With Wide Stance	Strength	Upper Legs
1174	Machine - Strength	Leg Press with Narrow Stance	Strength	Upper Legs
1175	Machine - Strength	Leg Press with Wide Stance	Strength	Upper Legs
1176	Body Only	Leg-Up Hamstring Stretch	Stretching	Upper Legs
1177	Body Only	Looking At Ceiling	Stretching	Upper Legs
1178	Body Only	Lying Hip Flexor	Stretching	Upper Legs
1179	Machine - Strength	Lying Leg Curls	Strength	Upper Legs
1180	Machine - Strength	Lying Machine Squat	Strength	Upper Legs
1181	Body Only	Mountain Climbers	Stretching	Upper Legs
1182	Bench	On Your Back Quad Stretch	Stretching	Upper Legs
1183	Body Only	On Your Side Quad Stretch	Stretching	Upper Legs
1184	Body Only	One Half Locust	Stretching	Upper Legs
1185	Body Only	One Leg Bodyweight Squat	Strength	Upper Legs
1186	Machine - Strength	One Leg Hack Squat	Strength	Upper Legs
1187	Body Only	Prisoner Squat	Strength	Upper Legs
1188	Body Only	Quad Stretch	Stretching	Upper Legs
1189	Body Only	Rear Bodyweight Lunge	Strength	Upper Legs
1190	Body Only	Rear Leg Raises	Stretching	Upper Legs
1191	Body Only	Reclining Big Toe Pose	Stretching	Upper Legs
1192	Machine - Strength	Reverse Hack Squat	Strength	Upper Legs
1193	Body Only	Rocket Jump	Strength	Upper Legs
1194	Body Only	Runner's Stretch	Stretching	Upper Legs
1195	Body Only	Scissors Jump	Strength	Upper Legs
1196	Body Only	Seated Floor Hamstring Stretch	Stretching	Upper Legs
1197	Bands	Seated Hamstring and Calf Stretch	Stretching	Upper Legs
1198	Body Only	Seated Hamstring Stretch	Stretching	Upper Legs
1199	Machine - Strength	Seated Leg Curl	Strength	Upper Legs
1200	Machine - Strength	Seated Leg Curl with One Leg	Strength	Upper Legs
1201	Body Only	Seated Wide Angle Pose Sequence	Stretching	Upper Legs
1202	Body Only	Side Hop-Sprint	Strength	Upper Legs
1203	Bench	Side Step Up	Strength	Upper Legs
1204	Others	Side to Side Box Shuffle	Strength	Upper Legs
1205	Body Only	Single Leg Butt Kick	Strength	Upper Legs
1206	Machine - Strength	Single Leg Curl	Strength	Upper Legs
1207	Others	Single Leg Push-Off	Strength	Upper Legs
1208	Body Only	Single Leg Stride Jump	Strength	Upper Legs
1209	Body Only	Sissy Squat	Strength	Upper Legs
1210	Body Only	Sit Squat	Strength	Upper Legs
1211	Machine - Strength	Smith Machine Frankenstein Squat	Strength	Upper Legs
1212	Machine - Strength	Smith Machine Front Squat	Strength	Upper Legs
1213	Machine - Strength	Smith Machine Hack Squat	Strength	Upper Legs
1214	Machine - Strength, Bench	Smith Machine Single Leg Split Squat	Strength	Upper Legs
1215	Machine - Strength	Smith Machine Squat	Strength	Upper Legs
1216	Bench, Machine - Strength	Smith Machine Squat to Bench	Strength	Upper Legs
1217	Machine - Strength	Smith Machine Stiff Legged Deadlift	Strength	Upper Legs
1218	Machine - Strength	Smith Machine Zercher Squat	Strength	Upper Legs
1219	Body Only	Split Jump	Strength	Upper Legs
1220	Bench	Standing Elevated Quad Stretch	Stretching	Upper Legs
1221	Bands	Standing Hamstring and Calf Stretch	Stretching	Upper Legs
1222	Body Only	Standing Hip Flexors	Stretching	Upper Legs
1223	Body Only	Standing Long Jump	Strength	Upper Legs
1224	Body Only	Standing Quadriceps Stretch	Stretching	Upper Legs
1225	Exercise Ball	Standing Straight Leg Hamstring Contract Relax on Exercise Ball	Stretching	Upper Legs
1226	Body Only	Standing Toe Touches	Stretching	Upper Legs
1227	Body Only	Star Jump	Strength	Upper Legs
1228	Body Only	Straddle Stretch	Stretching	Upper Legs
1229	Body Only	Supine Hamstring Stretch	Stretching	Upper Legs
1230	Machine - Strength	Thigh Abductor	Strength	Upper Legs
1231	Machine - Strength	Thigh Adductor	Strength	Upper Legs
1232	Bench	Transverse Step Up	Stretching	Upper Legs
1233	Machine - Strength, Weight Plate	Weight Plate Sissy Squat	Strength	Upper Legs
1234	Weight Plate, Bench	Weight Plate Squat	Strength	Upper Legs
1235	Exercise Ball, Weight Plate	Weighted Exercise Ball Wall Squat	Strength	Upper Legs
1236	Body Only	World's Greatest Stretch	Stretching	Upper Legs
1237	Body Only	Ankle Circles	Stretching	Lower Legs
1238	Bands	Band Calf Raise	Strength	Lower Legs
1239	Bands	Band Calf Raises	Strength	Lower Legs
1240	Barbell	Barbell Floor Calf Raise	Strength	Lower Legs
1241	Barbell	Barbell Rocking Standing Calf Raise	Strength	Lower Legs
1242	Barbell, Bench	Barbell Seated Calf Raise	Strength	Lower Legs
1243	Barbell, Weight Plate	Barbell Standing Calf Raise	Strength	Lower Legs
1244	Body Only	Bodyweight Standing Calf Raise	Strength	Lower Legs
1245	Bench	Box Jump Down with 1 Leg Stabilization	Strength	Lower Legs
1246	Machine - Strength	Cable Calf Raise	Strength	Lower Legs
1247	Machine - Strength	Cable One Leg Calf Raise	Strength	Lower Legs
1248	Machine - Strength	Cable One Leg Kickback	Strength	Lower Legs
1249	Machine - Strength	Calf Press On Leg Press	Strength	Lower Legs
1250	Machine - Strength	Calf Press on Leg Press Machine	Strength	Lower Legs
1251	Dumbbell	Calf Raise On A Dumbbell	Strength	Lower Legs
1252	Body Only	Calf Stretch With Hands Against Wall	Stretching	Lower Legs
1253	Bands	Calf Stretch with Rope	Stretching	Lower Legs
1254	Bench, Weight Plate	Donkey Calf Raises	Strength	Lower Legs
1255	Bench, Dumbbell	Dumbbell Seated Calf Raise	Strength	Lower Legs
1256	Bench, Dumbbell	Dumbbell Seated One Leg Calf Raise	Strength	Lower Legs
1257	Dumbbell, Weight Plate	Dumbbell Standing Calf Raise	Strength	Lower Legs
1258	Exercise Ball, Dumbbell	Exercise Ball on the Wall Calf Raise	Strength	Lower Legs
1259	Machine - Strength	Hack Calf Raise	Strength	Lower Legs
1260	Machine - Strength	Hack One Leg Calf Raise	Strength	Lower Legs
1261	Body Only	Knee Circles	Stretching	Lower Legs
1262	Machine - Strength	One Leg Calf Press on Leg Press	Strength	Lower Legs
1263	Bench, Weight Plate	One Leg Donkey Calf Raise	Strength	Lower Legs
1264	Body Only	One Leg Floor Calf Raise	Strength	Lower Legs
1265	Bands	Peroneals Stretch	Stretching	Lower Legs
1266	Bands	Posterior Tibialis Stretch	Stretching	Lower Legs
1267	Machine - Strength	Seated Calf Raise	Strength	Lower Legs
1268	Body Only	Seated Calf Stretch	Stretching	Lower Legs
1269	Machine - Strength	Seated One Leg Calf Raise	Strength	Lower Legs
1270	Dumbbell, Bench	Seated One Leg Calf Raise	Strength	Lower Legs
1271	Machine - Strength	Smith Machine One Leg Calf Raise	Strength	Lower Legs
1272	Machine - Strength	Smith Machine Reverse Calf Raises	Strength	Lower Legs
1273	Bench, Machine - Strength	Smith Machine Seated One Leg Calf Raise	Strength	Lower Legs
1274	Machine - Strength, Bench	Smith Machine Toe Raise	Strength	Lower Legs
1275	Machine - Strength	Standing Calf Raises	Strength	Lower Legs
1276	Body Only	Standing Gastrocnemius	Stretching	Lower Legs
1277	Bench	Standing Gastrocnemius Calf Stretch	Stretching	Lower Legs
1278	Body Only	Standing One Leg Bodyweight Calf Raise	Strength	Lower Legs
1279	Body Only	Standing Soleus And Achilles Stretch	Stretching	Lower Legs
1280	Others	Aerobics	Cardio	Cardio
1281	Others	Boxing	Cardio	Cardio
1282	Machine - Cardio	Elliptical Training	Cardio	Cardio
1283	Others	Field Sports	Cardio	Cardio
1284	Machine - Cardio	Indoor Cycling	Cardio	Cardio
1285	Others	Inline Skating	Cardio	Cardio
1286	Others	Jump Rope	Cardio	Cardio
1287	Others	Mountain Biking	Cardio	Cardio
1288	Body Only	Pilates	Cardio	Cardio
1289	Machine - Cardio	Recumbent Bike	Cardio	Cardio
1290	Others	Road Cycling	Cardio	Cardio
1291	Machine - Cardio	Rowing	Cardio	Cardio
1292	Body Only	Running	Cardio	Cardio
1293	Machine - Cardio	Stationary Bike	Cardio	Cardio
1294	Machine - Cardio	Step Machine	Cardio	Cardio
1295	Body Only	Swimming	Cardio	Cardio
1296	Machine - Cardio	Treadmill Running	Cardio	Cardio
1297	Machine - Cardio	Walking	Cardio	Cardio
1298	Body Only	Yoga	Cardio	Cardio
